Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.622499943,7.660714149,7.585000038,7.643214226,6.515212059,493729600
2010-01-05,7.664286137,7.699643135,7.616071224,7.656428814,6.526476383,601904800
2010-01-06,7.656428814,7.686786175,7.526785851,7.534643173,6.422664165,552160000
2010-01-07,7.5625,7.571428776,7.466071129,7.520713806,6.410791397,477131200
2010-01-08,7.510714054,7.571428776,7.466429234,7.570713997,6.453412533,447610800
2010-01-11,7.599999905,7.607142925,7.444643021,7.503929138,6.396484375,462229600
2010-01-12,7.471070766,7.491786003,7.372142792,7.418570995,6.323722363,594459600
2010-01-13,7.423929214,7.533214092,7.289286137,7.523213863,6.412921906,605892000
2010-01-14,7.503929138,7.516428947,7.465000153,7.479642868,6.375782013,432894000
2010-01-15,7.533214092,7.557143211,7.352499962,7.354642868,6.269229412,594067600
2010-01-19,7.440357208,7.685357094,7.401429176,7.679999828,6.546569347,730007600
2010-01-20,7.675356865,7.698214054,7.482142925,7.561786175,6.445803165,612152800
2010-01-21,7.574285984,7.61821413,7.40035677,7.431070805,6.334377766,608154400
2010-01-22,7.385000229,7.410714149,7.041429043,7.0625,6.020201683,881767600
2010-01-25,7.232500076,7.310713768,7.149642944,7.252500057,6.182161331,1065699600
2010-01-26,7.35535717,7.632500172,7.235000134,7.355000019,6.269533634,1867110000
2010-01-27,7.387499809,7.520713806,7.126070976,7.424285889,6.328593731,1722568400
2010-01-28,7.318929195,7.339285851,7.096428871,7.117499828,6.067084312,1173502400
2010-01-29,7.181428909,7.221428871,6.794642925,6.859285831,5.846978188,1245952400
2010-02-01,6.870357037,7,6.83214283,6.954642773,5.928262234,749876400
2010-02-02,6.996786118,7.011428833,6.906428814,6.994999886,5.962664127,698342400
2010-02-03,6.970356941,7.150000095,6.943571091,7.115356922,6.065257549,615328000
2010-02-04,7.026071072,7.084642887,6.841785908,6.858929157,5.846675396,757652000
2010-02-05,6.879642963,7,6.816071033,6.980713844,5.950482845,850306800
2010-02-08,6.988928795,7.067142963,6.928571224,6.932857037,5.909689903,478270800
2010-02-09,7.014999866,7.053571224,6.955357075,7.00678587,5.972709179,632886800
2010-02-10,6.996070862,7.021429062,6.937857151,6.968571186,5.940135002,370361600
2010-02-11,6.960000038,7.133928776,6.93071413,7.095356941,6.04820919,550345600
2010-02-12,7.07535696,7.20142889,6.982142925,7.156428814,6.100267887,655468800
2010-02-16,7.212142944,7.274642944,7.197143078,7.264286041,6.19220686,543737600
2010-02-17,7.292500019,7.296785831,7.17357111,7.233929157,6.166331291,436396800
2010-02-18,7.201070786,7.281785965,7.175714016,7.247499943,6.177898407,422825200
2010-02-19,7.209286213,7.257143021,7.182499886,7.202499866,6.139538765,415469600
2010-02-22,7.226428986,7.232142925,7.113928795,7.157856941,6.101483822,390563600
2010-02-23,7.142857075,7.190357208,6.989643097,7.037857056,5.999195099,575094800
2010-02-24,7.079642773,7.19428587,7.065713882,7.166429043,6.108790874,460566400
2010-02-25,7.049285889,7.244999886,7.031785965,7.214285851,6.149586201,665126000
2010-02-26,7.227857113,7.327499866,7.214285851,7.307857037,6.229348183,507460800
2010-03-01,7.348214149,7.482142925,7.337500095,7.463929176,6.36238718,550093600
2010-03-02,7.497499943,7.529643059,7.419285774,7.458929062,6.358122826,566546400
2010-03-03,7.462142944,7.495357037,7.426428795,7.476070881,6.3727355,372052800
2010-03-04,7.474286079,7.532856941,7.451070786,7.52535677,6.414748192,366041200
2010-03-05,7.676428795,7.846428871,7.665357113,7.819643021,6.66560173,899620400
2010-03-08,7.857500076,7.860356808,7.794642925,7.824285984,6.669560432,429889600
2010-03-09,7.796785831,8.035714149,7.781785965,7.965000153,6.789509296,920259200
2010-03-10,7.993928909,8.052857399,7.971428871,8.029999733,6.84491539,596218000
2010-03-11,7.996786118,8.053570747,7.975714207,8.053570747,6.865008354,405700400
2010-03-12,8.12035656,8.133213997,8.0625,8.092857361,6.898495674,416323600
2010-03-15,8.049285889,8.053570747,7.866071224,7.99428606,6.814472675,493502800
2010-03-16,8.006428719,8.034999847,7.946785927,8.01607132,6.833041668,446908000
2010-03-17,8.032142639,8.087499619,7.973928928,8.004285812,6.822998047,450956800
2010-03-18,8.003570557,8.035714149,7.95035696,8.02321434,6.839130402,342109600
2010-03-19,8.028214455,8.044285774,7.901071072,7.9375,6.766068459,559445600
2010-03-22,7.873929024,8.071429253,7.862500191,8.026785851,6.842177391,456419600
2010-03-23,8.058570862,8.170714378,8.003570557,8.155714035,6.952075481,602431200
2010-03-24,8.130000114,8.221428871,8.125356674,8.191785812,6.982824326,597780400
2010-03-25,8.247142792,8.248929024,8.080356598,8.094642639,6.900017738,542284400
2010-03-26,8.176786423,8.283928871,8.162500381,8.246429443,7.029404163,640875200
2010-03-29,8.321429253,8.352499962,8.272143364,8.299642563,7.074761391,540744400
2010-03-30,8.449999809,8.4814291,8.366070747,8.423213959,7.180098534,527310000
2010-03-31,8.410357475,8.450357437,8.373571396,8.392856598,7.154219151,430659600
2010-04-01,8.478928566,8.526070595,8.3125,8.427499771,7.183749199,603145200
2010-04-05,8.39214325,8.518214226,8.384642601,8.517499924,7.260471821,684507600
2010-04-06,8.507143021,8.579999924,8.464285851,8.555000305,7.292432785,447017200
2010-04-07,8.555356979,8.640000343,8.523571014,8.592857361,7.324705601,628502000
2010-04-08,8.587142944,8.626428604,8.501428604,8.569643021,7.304917336,572989200
2010-04-09,8.62250042,8.638929367,8.587857246,8.635356903,7.36093235,334182800
2010-04-12,8.649999619,8.681071281,8.636071205,8.653214455,7.376156807,333026400
2010-04-13,8.637857437,8.67142868,8.611070633,8.658213615,7.380417347,306210800
2010-04-14,8.760000229,8.778928757,8.716786385,8.774642944,7.479662418,404076400
2010-04-15,8.777856827,8.893928528,8.768214226,8.890000343,7.577994347,376784800
2010-04-16,8.87749958,8.969285965,8.73392868,8.83571434,7.531721592,750545600
2010-04-19,8.822500229,8.853214264,8.634642601,8.823928833,7.521676064,566924400
2010-04-20,8.876428604,8.901785851,8.677143097,8.735357285,7.446174145,738326400
2010-04-21,9.242856979,9.294643402,9.133213997,9.257857323,7.891562939,982391200
2010-04-22,9.222857475,9.526785851,9.149999619,9.516785622,8.112280846,793424800
2010-04-23,9.571070671,9.720713615,9.535714149,9.672499657,8.245010376,796955600
2010-04-26,9.710000038,9.730713844,9.578213692,9.625,8.204519272,479068800
2010-04-27,9.54535675,9.565713882,9.304286003,9.358571053,7.977413177,709343600
2010-04-28,9.401785851,9.428570747,9.157500267,9.342857361,7.964015961,758402400
2010-04-29,9.3935709,9.642856598,9.357500076,9.594285965,8.178339958,558840800
2010-04-30,9.618213654,9.66321373,9.321429253,9.324643135,7.948492527,542463600
2010-05-03,9.422857285,9.56714344,9.388570786,9.512499809,8.108624458,454342000
2010-05-04,9.388929367,9.403214455,9.169643402,9.238571167,7.875123501,723819600
2010-05-05,9.036786079,9.219285965,8.883213997,9.142499924,7.79322958,883103200
2010-05-06,9.065357208,9.223214149,7.116071224,8.794643402,7.496713638,1285860800
2010-05-07,8.703928947,8.806071281,8.043213844,8.423570633,7.180401802,1676018400
2010-05-10,8.9375,9.094642639,8.876070976,9.071070671,7.732343674,984306400
2010-05-11,8.994285583,9.281785965,8.946429253,9.161429405,7.80936718,848906800
2010-05-12,9.258570671,9.397500038,9.239286423,9.360357285,7.978936195,654379600
2010-05-13,9.400713921,9.464285851,9.157142639,9.227143288,7.865380764,599712400
2010-05-14,9.112856865,9.159999847,8.910714149,9.06499958,7.727168083,759362800
2010-05-17,9.096428871,9.14928627,8.846785545,9.079285622,7.739346027,762834800
2010-05-18,9.177857399,9.23392868,8.937856674,9.012857437,7.682721615,782678400
2010-05-19,8.910714149,9.032856941,8.744643211,8.869285583,7.560337067,1025726800
2010-05-20,8.638570786,8.708929062,8.436071396,8.491429329,7.238245964,1282915200
2010-05-21,8.31499958,8.732143402,8.262499809,8.654286385,7.377067566,1223891200
2010-05-24,8.831428528,8.96071434,8.795000076,8.812856674,7.512238026,754238800
2010-05-25,8.548213959,8.812856674,8.470000267,8.757857323,7.465352535,1048006400
2010-05-26,8.931428909,9.00464344,8.705356598,8.718214035,7.431558609,850654000
2010-05-27,8.949999809,9.067500114,8.896785736,9.048213959,7.712857723,666282400
2010-05-28,9.263929367,9.264286041,9.048213959,9.174285889,7.820324421,815614800
2010-06-01,9.274642944,9.497857094,9.248571396,9.315357208,7.940578938,876472800
2010-06-02,9.447856903,9.45714283,9.297499657,9.426786423,8.035563469,688548000
2010-06-03,9.470713615,9.48392868,9.300356865,9.397143364,8.010293007,650106800
2010-06-04,9.221785545,9.353570938,9.093929291,9.141428947,7.792315006,758304400
2010-06-07,9.224642754,9.255356789,8.948213577,8.962142944,7.639489651,886942000
2010-06-08,9.044285774,9.064286232,8.77321434,8.904643059,7.59047699,1000770400
2010-06-09,8.981071472,8.996429443,8.660357475,8.685713768,7.403857708,854630000
2010-06-10,8.744285583,8.963570595,8.649999619,8.946785927,7.626400471,776356000
2010-06-11,8.865357399,9.066429138,8.834643364,9.053929329,7.717734814,545759200
2010-06-14,9.141428947,9.255356789,9.071785927,9.081428528,7.741175175,602960400
2010-06-15,9.130000114,9.280357361,9.125,9.274642944,7.905869007,585074000
2010-06-16,9.324999809,9.5625,9.308214188,9.544643402,8.136022568,783678000
2010-06-17,9.66428566,9.746429443,9.625,9.709643364,8.276674271,872855200
2010-06-18,9.723214149,9.821429253,9.693571091,9.78821373,8.343650818,784621600
2010-06-21,9.917499542,9.964642525,9.597499847,9.648928642,8.224920273,776490400
2010-06-22,9.720000267,9.856071472,9.696429253,9.780357361,8.336949348,717262000
2010-06-23,9.806428909,9.809286118,9.567856789,9.677499771,8.249272346,768457200
2010-06-24,9.678570747,9.757143021,9.574999809,9.607143402,8.189299583,714277200
2010-06-25,9.645000458,9.652500153,9.493213654,9.524999619,8.119278908,549942400
2010-06-28,9.533213615,9.633929253,9.447142601,9.58214283,8.167993546,584948000
2010-06-29,9.43285656,9.442500114,9.08214283,9.148928642,7.798711777,1133344800
2010-06-30,9.168213844,9.213213921,8.928929329,8.983214378,7.65745163,739452000
2010-07-01,9.08214283,9.100000381,8.686429024,8.874285698,7.564599991,1022896000
2010-07-02,8.946070671,8.96178627,8.685713768,8.819286346,7.517718792,693842800
2010-07-06,8.964285851,9.028571129,8.791428566,8.87964344,7.56916523,615235600
2010-07-07,8.946070671,9.241786003,8.919643402,9.238213539,7.874816895,654556000
2010-07-08,9.374285698,9.389286041,9.103214264,9.217499733,7.857161522,738144400
2010-07-09,9.174642563,9.282142639,9.112856865,9.272143364,7.903743267,433322400
2010-07-12,9.233214378,9.35178566,9.102143288,9.188928604,7.832803726,562878400
2010-07-13,9.154286385,9.157142639,8.801071167,8.992856979,7.665673256,1190924000
2010-07-14,8.906429291,9.135713577,8.892856598,9.026070595,7.693984509,812047600
2010-07-15,8.865357399,9.177499771,8.83214283,8.98035717,7.655018806,824866000
2010-07-16,9.042142868,9.106071472,8.871786118,8.925000191,7.607832432,1039858400
2010-07-19,8.924285889,8.924285889,8.557143211,8.770713806,7.476313591,1024478000
